'ICD-9-CM CODE','ICD-9-CM CODE DESCRIPTION','CATEGORY DESCRIPTION','BODY SYSTEM'
'01005',"PRIM TB COMPLEX-HISTO DX",'0','1'
'01006',"PRIM TB COMPLEX-OTH TEST",'0','1'
'01010',"PRIM TB PLEURISY-UNSPEC",'0','1'
'01011',"PRIM TB PLEURISY-NO EXAM",'0','1'
'01012',"PRIM TB PLEUR-EXAM UNKN",'0','1'
'01013',"PRIM TB PLEURIS-MICRO DX",'0','1'
'01014',"PRIM TB PLEURISY-CULT DX",'0','1'
'01015',"PRIM TB PLEURIS-HISTO DX",'0','1'
'01016',"PRIM TB PLEURIS-OTH TEST",'0','1'
'01080',"PRIM PROG TB NEC-UNSPEC",'0','1'
'01081',"PRIM PROG TB NEC-NO EXAM",'0','1'
'01082',"PRIM PR TB NEC-EXAM UNKN",'0','1'
'01083',"PRIM PRG TB NEC-MICRO DX",'0','1'
'01084',"PRIM PROG TB NEC-CULT DX",'0','1'
'01085',"PRIM PRG TB NEC-HISTO DX",'0','1'
'01086',"PRIM PRG TB NEC-OTH TEST",'0','1'
'01090',"PRIMARY TB NOS-UNSPEC",'0','1'
'01091',"PRIMARY TB NOS-NO EXAM",'0','1'
'01092',"PRIMARY TB NOS-EXAM UNKN",'0','1'
'01093',"PRIMARY TB NOS-MICRO DX",'0','1'
'01094',"PRIMARY TB NOS-CULT DX",'0','1'
'01095',"PRIMARY TB NOS-HISTO DX",'0','1'
'01096',"PRIMARY TB NOS-OTH TEST",'0','1'
'01100',"TB LUNG INFILTR-UNSPEC",'0','1'
'01101',"TB LUNG INFILTR-NO EXAM",'0','1'
'01102',"TB LUNG INFILTR-EXM UNKN",'0','1'
'01103',"TB LUNG INFILTR-MICRO DX",'0','1'
'01104',"TB LUNG INFILTR-CULT DX",'0','1'
'01105',"TB LUNG INFILTR-HISTO DX",'0','1'
'01106',"TB LUNG INFILTR-OTH TEST",'0','1'
'01110',"TB LUNG NODULAR-UNSPEC",'0','1'
'01111',"TB LUNG NODULAR-NO EXAM",'0','1'
'01112',"TB LUNG NODUL-EXAM UNKN",'0','1'
'01113',"TB LUNG NODULAR-MICRO DX",'0','1'
'01114',"TB LUNG NODULAR-CULT DX",'0','1'
'01115',"TB LUNG NODULAR-HISTO DX",'0','1'
'01116',"TB LUNG NODULAR-OTH TEST",'0','1'
'01120',"TB LUNG W CAVITY-UNSPEC",'0','1'
'01121',"TB LUNG W CAVITY-NO EXAM",'0','1'
'01122',"TB LUNG CAVITY-EXAM UNKN",'0','1'
'01123',"TB LUNG W CAVIT-MICRO DX",'0','1'
'01124',"TB LUNG W CAVITY-CULT DX",'0','1'
'01125',"TB LUNG W CAVIT-HISTO DX",'0','1'
'01126',"TB LUNG W CAVIT-OTH TEST",'0','1'
'01130',"TB OF BRONCHUS-UNSPEC",'0','1'
'01131',"TB OF BRONCHUS-NO EXAM",'0','1'
'01132',"TB OF BRONCHUS-EXAM UNKN",'0','1'
'01133',"TB OF BRONCHUS-MICRO DX",'0','1'
'01134',"TB OF BRONCHUS-CULT DX",'0','1'
'01135',"TB OF BRONCHUS-HISTO DX",'0','1'
'01136',"TB OF BRONCHUS-OTH TEST",'0','1'
'01140',"TB LUNG FIBROSIS-UNSPEC",'0','1'
'01141',"TB LUNG FIBROSIS-NO EXAM",'0','1'
'01142',"TB LUNG FIBROS-EXAM UNKN",'0','1'
'01143',"TB LUNG FIBROS-MICRO DX",'0','1'
'01144',"TB LUNG FIBROSIS-CULT DX",'0','1'
'01145',"TB LUNG FIBROS-HISTO DX",'0','1'
'01146',"TB LUNG FIBROS-OTH TEST",'0','1'
'01150',"TB BRONCHIECTASIS-UNSPEC",'0','1'
'01151',"TB BRONCHIECT-NO EXAM",'0','1'
'01152',"TB BRONCHIECT-EXAM UNKN",'0','1'
'01153',"TB BRONCHIECT-MICRO DX",'0','1'
'01154',"TB BRONCHIECT-CULT DX",'0','1'
'01155',"TB BRONCHIECT-HISTO DX",'0','1'
'01156',"TB BRONCHIECT-OTH TEST",'0','1'
'01160',"TB PNEUMONIA-UNSPEC",'0','1'
'01161',"TB PNEUMONIA-NO EXAM",'0','1'
'01162',"TB PNEUMONIA-EXAM UNKN",'0','1'
'01163',"TB PNEUMONIA-MICRO DX",'0','1'
'01164',"TB PNEUMONIA-CULT DX",'0','1'
'01165',"TB PNEUMONIA-HISTO DX",'0','1'
'01166',"TB PNEUMONIA-OTH TEST",'0','1'
'01170',"TB PNEUMOTHORAX-UNSPEC",'0','1'
'01171',"TB PNEUMOTHORAX-NO EXAM",'0','1'
'01172',"TB PNEUMOTHORX-EXAM UNKN",'0','1'
'01173',"TB PNEUMOTHORAX-MICRO DX",'0','1'
'01174',"TB PNEUMOTHORAX-CULT DX",'0','1'
'01175',"TB PNEUMOTHORAX-HISTO DX",'0','1'
'01176',"TB PNEUMOTHORAX-OTH TEST",'0','1'
'01180',"PULMONARY TB NEC-UNSPEC",'0','1'
'01181',"PULMONARY TB NEC-NO EXAM",'0','1'
'01182',"PULMON TB NEC-EXAM UNKN",'0','1'
'01183',"PULMON TB NEC-MICRO DX",'0','1'
'01184',"PULMON TB NEC-CULT DX",'0','1'
'01185',"PULMON TB NEC-HISTO DX",'0','1'
'01186',"PULMON TB NEC-OTH TEST",'0','1'
'01190',"PULMONARY TB NOS-UNSPEC",'0','1'
'01191',"PULMONARY TB NOS-NO EXAM",'0','1'
'01192',"PULMON TB NOS-EXAM UNKN",'0','1'
'01193',"PULMON TB NOS-MICRO DX",'0','1'
'01194',"PULMON TB NOS-CULT DX",'0','1'
'01195',"PULMON TB NOS-HISTO DX",'0','1'
'01196',"PULMON TB NOS-OTH TEST",'0','1'
'01200',"TB PLEURISY-UNSPEC",'0','1'
'01201',"TB PLEURISY-NO EXAM",'0','1'
'01202',"TB PLEURISY-EXAM UNKN",'0','1'
'01203',"TB PLEURISY-MICRO DX",'0','1'
'01204',"TB PLEURISY-CULT DX",'0','1'
'01205',"TB PLEURISY-HISTOLOG DX",'0','1'
'01206',"TB PLEURISY-OTH TEST",'0','1'
'01210',"TB THORACIC NODES-UNSPEC",'0','1'
'01211',"TB THORAX NODE-NO EXAM",'0','1'
'01212',"TB THORAX NODE-EXAM UNKN",'0','1'
'01213',"TB THORAX NODE-MICRO DX",'0','1'
'01214',"TB THORAX NODE-CULT DX",'0','1'
'01215',"TB THORAX NODE-HISTO DX",'0','1'
'01216',"TB THORAX NODE-OTH TEST",'0','1'
'01220',"ISOL TRACHEAL TB-UNSPEC",'0','1'
'01221',"ISOL TRACHEAL TB-NO EXAM",'0','1'
'01222',"ISOL TRACH TB-EXAM UNKN",'0','1'
'01223',"ISOLAT TRACH TB-MICRO DX",'0','1'
'01224',"ISOL TRACHEAL TB-CULT DX",'0','1'
'01225',"ISOLAT TRACH TB-HISTO DX",'0','1'
'01226',"ISOLAT TRACH TB-OTH TEST",'0','1'
'01230',"TB LARYNGITIS-UNSPEC",'0','1'
'01231',"TB LARYNGITIS-NO EXAM",'0','1'
'01232',"TB LARYNGITIS-EXAM UNKN",'0','1'
'01233',"TB LARYNGITIS-MICRO DX",'0','1'
'01234',"TB LARYNGITIS-CULT DX",'0','1'
'01235',"TB LARYNGITIS-HISTO DX",'0','1'
'01236',"TB LARYNGITIS-OTH TEST",'0','1'
'01280',"RESP TB NEC-UNSPEC",'0','1'
'01281',"RESP TB NEC-NO EXAM",'0','1'
'01282',"RESP TB NEC-EXAM UNKN",'0','1'
'01283',"RESP TB NEC-MICRO DX",'0','1'
'01284',"RESP TB NEC-CULT DX",'0','1'
'01285',"RESP TB NEC-HISTO DX",'0','1'
'01286',"RESP TB NEC-OTH TEST",'0','1'
'01300',"TB MENINGITIS-UNSPEC",'0','1'
'01301',"TB MENINGITIS-NO EXAM",'0','1'
'01302',"TB MENINGITIS-EXAM UNKN",'0','1'
'01303',"TB MENINGITIS-MICRO DX",'0','1'
'01304',"TB MENINGITIS-CULT DX",'0','1'
'01305',"TB MENINGITIS-HISTO DX",'0','1'
'01306',"TB MENINGITIS-OTH TEST",'0','1'
'01310',"TUBRCLMA MENINGES-UNSPEC",'0','1'
'01311',"TUBRCLMA MENING-NO EXAM",'0','1'
'01312',"TUBRCLMA MENIN-EXAM UNKN",'0','1'
'01313',"TUBRCLMA MENING-MICRO DX",'0','1'
'01314',"TUBRCLMA MENING-CULT DX",'0','1'
'01315',"TUBRCLMA MENING-HISTO DX",'0','1'
'01316',"TUBRCLMA MENING-OTH TEST",'0','1'
'01320',"TUBERCULOMA BRAIN-UNSPEC",'0','1'
'01321',"TUBRCLOMA BRAIN-NO EXAM",'0','1'
'01322',"TUBRCLMA BRAIN-EXAM UNKN",'0','1'
'01323',"TUBRCLOMA BRAIN-MICRO DX",'0','1'
'01324',"TUBRCLOMA BRAIN-CULT DX",'0','1'
'01325',"TUBRCLOMA BRAIN-HISTO DX",'0','1'
'01326',"TUBRCLOMA BRAIN-OTH TEST",'0','1'
'01330',"TB BRAIN ABSCESS-UNSPEC",'0','1'
'01331',"TB BRAIN ABSCESS-NO EXAM",'0','1'
'01332',"TB BRAIN ABSC-EXAM UNKN",'0','1'
'01333',"TB BRAIN ABSC-MICRO DX",'0','1'
'01334',"TB BRAIN ABSCESS-CULT DX",'0','1'
'01335',"TB BRAIN ABSC-HISTO DX",'0','1'
'01336',"TB BRAIN ABSC-OTH TEST",'0','1'
'01340',"TUBRCLMA SP CORD-UNSPEC",'0','1'
'01341',"TUBRCLMA SP CORD-NO EXAM",'0','1'
'01342',"TUBRCLMA SP CD-EXAM UNKN",'0','1'
'01343',"TUBRCLMA SP CRD-MICRO DX",'0','1'
'01344',"TUBRCLMA SP CORD-CULT DX",'0','1'
'01345',"TUBRCLMA SP CRD-HISTO DX",'0','1'
'01346',"TUBRCLMA SP CRD-OTH TEST",'0','1'
'01350',"TB SP CRD ABSCESS-UNSPEC",'0','1'
'01351',"TB SP CRD ABSC-NO EXAM",'0','1'
'01352',"TB SP CRD ABSC-EXAM UNKN",'0','1'
'01353',"TB SP CRD ABSC-MICRO DX",'0','1'
'01354',"TB SP CRD ABSC-CULT DX",'0','1'
'01355',"TB SP CRD ABSC-HISTO DX",'0','1'
'01356',"TB SP CRD ABSC-OTH TEST",'0','1'
'01360',"TB ENCEPHALITIS-UNSPEC",'0','1'
'01361',"TB ENCEPHALITIS-NO EXAM",'0','1'
'01362',"TB ENCEPHALIT-EXAM UNKN",'0','1'
'01363',"TB ENCEPHALITIS-MICRO DX",'0','1'
'01364',"TB ENCEPHALITIS-CULT DX",'0','1'
'01365',"TB ENCEPHALITIS-HISTO DX",'0','1'
'01366',"TB ENCEPHALITIS-OTH TEST",'0','1'
'01380',"CNS TB NEC-UNSPEC",'0','1'
'01381',"CNS TB NEC-NO EXAM",'0','1'
'01382',"CNS TB NEC-EXAM UNKN",'0','1'
'01383',"CNS TB NEC-MICRO DX",'0','1'
'01384',"CNS TB NEC-CULT DX",'0','1'
'01385',"CNS TB NEC-HISTO DX",'0','1'
'01386',"CNS TB NEC-OTH TEST",'0','1'
'01390',"CNS TB NOS-UNSPEC",'0','1'
'01391',"CNS TB NOS-NO EXAM",'0','1'
'01392',"CNS TB NOS-EXAM UNKN",'0','1'
'01393',"CNS TB NOS-MICRO DX",'0','1'
'01394',"CNS TB NOS-CULT DX",'0','1'
'01395',"CNS TB NOS-HISTO DX",'0','1'
'01396',"CNS TB NOS-OTH TEST",'0','1'
'01400',"TB PERITONITIS-UNSPEC",'0','1'
'01401',"TB PERITONITIS-NO EXAM",'0','1'
'01402',"TB PERITONITIS-EXAM UNKN",'0','1'
'01403',"TB PERITONITIS-MICRO DX",'0','1'
'01404',"TB PERITONITIS-CULT DX",'0','1'
'01405',"TB PERITONITIS-HISTO DX",'0','1'
'01406',"TB PERITONITIS-OTH TEST",'0','1'
'01480',"INTESTINAL TB NEC-UNSPEC",'0','1'
'01481',"INTESTIN TB NEC-NO EXAM",'0','1'
'01482',"INTEST TB NEC-EXAM UNKN",'0','1'
'01483',"INTESTIN TB NEC-MICRO DX",'0','1'
'01484',"INTESTIN TB NEC-CULT DX",'0','1'
'01485',"INTESTIN TB NEC-HISTO DX",'0','1'
'01486',"INTESTIN TB NEC-OTH TEST",'0','1'
'01500',"TB OF VERTEBRA-UNSPEC",'0','1'
'01501',"TB OF VERTEBRA-NO EXAM",'0','1'
'01502',"TB OF VERTEBRA-EXAM UNKN",'0','1'
'01503',"TB OF VERTEBRA-MICRO DX",'0','1'
'01504',"TB OF VERTEBRA-CULT DX",'0','1'
'01505',"TB OF VERTEBRA-HISTO DX",'0','1'
'01506',"TB OF VERTEBRA-OTH TEST",'0','1'
'01510',"TB OF HIP-UNSPEC",'0','1'
'01511',"TB OF HIP-NO EXAM",'0','1'
'01512',"TB OF HIP-EXAM UNKN",'0','1'
'01513',"TB OF HIP-MICRO DX",'0','1'
'01514',"TB OF HIP-CULT DX",'0','1'
'01515',"TB OF HIP-HISTO DX",'0','1'
'01516',"TB OF HIP-OTH TEST",'0','1'
'01520',"TB OF KNEE-UNSPEC",'0','1'
'01521',"TB OF KNEE-NO EXAM",'0','1'
'01522',"TB OF KNEE-EXAM UNKN",'0','1'
'01523',"TB OF KNEE-MICRO DX",'0','1'
'01524',"TB OF KNEE-CULT DX",'0','1'
'01525',"TB OF KNEE-HISTO DX",'0','1'
'01526',"TB OF KNEE-OTH TEST",'0','1'
'01550',"TB OF LIMB BONES-UNSPEC",'0','1'
'01551',"TB LIMB BONES-NO EXAM",'0','1'
'01552',"TB LIMB BONES-EXAM UNKN",'0','1'
'01553',"TB LIMB BONES-MICRO DX",'0','1'
'01554',"TB LIMB BONES-CULT DX",'0','1'
'01555',"TB LIMB BONES-HISTO DX",'0','1'
'01556',"TB LIMB BONES-OTH TEST",'0','1'
'01560',"TB OF MASTOID-UNSPEC",'0','1'
'01561',"TB OF MASTOID-NO EXAM",'0','1'
'01562',"TB OF MASTOID-EXAM UNKN",'0','1'
'01563',"TB OF MASTOID-MICRO DX",'0','1'
'01564',"TB OF MASTOID-CULT DX",'0','1'
'01565',"TB OF MASTOID-HISTO DX",'0','1'
'01566',"TB OF MASTOID-OTH TEST",'0','1'
'01570',"TB OF BONE NEC-UNSPEC",'0','1'
'01571',"TB OF BONE NEC-NO EXAM",'0','1'
'01572',"TB OF BONE NEC-EXAM UNKN",'0','1'
'01573',"TB OF BONE NEC-MICRO DX",'0','1'
'01574',"TB OF BONE NEC-CULT DX",'0','1'
'01575',"TB OF BONE NEC-HISTO DX",'0','1'
'01576',"TB OF BONE NEC-OTH TEST",'0','1'
'01580',"TB OF JOINT NEC-UNSPEC",'0','1'
'01581',"TB OF JOINT NEC-NO EXAM",'0','1'
'01582',"TB JOINT NEC-EXAM UNKN",'0','1'
'01583',"TB OF JOINT NEC-MICRO DX",'0','1'
'01584',"TB OF JOINT NEC-CULT DX",'0','1'
'01585',"TB OF JOINT NEC-HISTO DX",'0','1'
'01586',"TB OF JOINT NEC-OTH TEST",'0','1'
'01590',"TB BONE/JOINT NOS-UNSPEC",'0','1'
'01591',"TB BONE/JT NOS-NO EXAM",'0','1'
'01592',"TB BONE/JT NOS-EXAM UNKN",'0','1'
'01593',"TB BONE/JT NOS-MICRO DX",'0','1'
'01594',"TB BONE/JT NOS-CULT DX",'0','1'
'01595',"TB BONE/JT NOS-HISTO DX",'0','1'
'01596',"TB BONE/JT NOS-OTH TEST",'0','1'
'01600',"TB OF KIDNEY-UNSPEC",'0','1'
'01601',"TB OF KIDNEY-NO EXAM",'0','1'
'01602',"TB OF KIDNEY-EXAM UNKN",'0','1'
'01603',"TB OF KIDNEY-MICRO DX",'0','1'
'01604',"TB OF KIDNEY-CULT DX",'0','1'
'01605',"TB OF KIDNEY-HISTO DX",'0','1'
'01606',"TB OF KIDNEY-OTH TEST",'0','1'
'01610',"TB OF BLADDER-UNSPEC",'0','1'
'01611',"TB OF BLADDER-NO EXAM",'0','1'
'01612',"TB OF BLADDER-EXAM UNKN",'0','1'
'01613',"TB OF BLADDER-MICRO DX",'0','1'
'01614',"TB OF BLADDER-CULT DX",'0','1'
'01615',"TB OF BLADDER-HISTO DX",'0','1'
'01616',"TB OF BLADDER-OTH TEST",'0','1'
'01620',"TB OF URETER-UNSPEC",'0','1'
'01621',"TB OF URETER-NO EXAM",'0','1'
'01622',"TB OF URETER-EXAM UNKN",'0','1'
'01623',"TB OF URETER-MICRO DX",'0','1'
'01624',"TB OF URETER-CULT DX",'0','1'
'01625',"TB OF URETER-HISTO DX",'0','1'
'01626',"TB OF URETER-OTH TEST",'0','1'
'01630',"TB URINARY NEC-UNSPEC",'0','1'
'01631',"TB URINARY NEC-NO EXAM",'0','1'
'01632',"TB URINARY NEC-EXAM UNKN",'0','1'
'01633',"TB URINARY NEC-MICRO DX",'0','1'
'01634',"TB URINARY NEC-CULT DX",'0','1'
'01635',"TB URINARY NEC-HISTO DX",'0','1'
'01636',"TB URINARY NEC-OTH TEST",'0','1'
'01640',"TB EPIDIDYMIS-UNSPEC",'0','1'
'01641',"TB EPIDIDYMIS-NO EXAM",'0','1'
'01642',"TB EPIDIDYMIS-EXAM UNKN",'0','1'
'01643',"TB EPIDIDYMIS-MICRO DX",'0','1'
'01644',"TB EPIDIDYMIS-CULT DX",'0','1'
'01645',"TB EPIDIDYMIS-HISTO DX",'0','1'
'01646',"TB EPIDIDYMIS-OTH TEST",'0','1'
'01650',"TB MALE GENIT NEC-UNSPEC",'0','1'
'01651',"TB MALE GEN NEC-NO EXAM",'0','1'
'01652',"TB MALE GEN NEC-EX UNKN",'0','1'
'01653',"TB MALE GEN NEC-MICRO DX",'0','1'
'01654',"TB MALE GEN NEC-CULT DX",'0','1'
'01655',"TB MALE GEN NEC-HISTO DX",'0','1'
'01656',"TB MALE GEN NEC-OTH TEST",'0','1'
'01660',"TB OVARY & TUBE-UNSPEC",'0','1'
'01661',"TB OVARY & TUBE-NO EXAM",'0','1'
'01662',"TB OVARY/TUBE-EXAM UNKN",'0','1'
'01663',"TB OVARY & TUBE-MICRO DX",'0','1'
'01664',"TB OVARY & TUBE-CULT DX",'0','1'
'01665',"TB OVARY & TUBE-HISTO DX",'0','1'
'01666',"TB OVARY & TUBE-OTH TEST",'0','1'
'01670',"TB FEMALE GEN NEC-UNSPEC",'0','1'
'01671',"TB FEM GEN NEC-NO EXAM",'0','1'
'01672',"TB FEM GEN NEC-EXAM UNKN",'0','1'
'01673',"TB FEM GEN NEC-MICRO DX",'0','1'
'01674',"TB FEM GEN NEC-CULT DX",'0','1'
'01675',"TB FEM GEN NEC-HISTO DX",'0','1'
'01676',"TB FEM GEN NEC-OTH TEST",'0','1'
'01690',"GU TB NOS-UNSPEC",'0','1'
'01691',"GU TB NOS-NO EXAM",'0','1'
'01692',"GU TB NOS-EXAM UNKN",'0','1'
'01693',"GU TB NOS-MICRO DX",'0','1'
'01694',"GU TB NOS-CULT DX",'0','1'
'01695',"GU TB NOS-HISTO DX",'0','1'
'01696',"GU TB NOS-OTH TEST",'0','1'
'01700',"TB SKIN/SUBCUTAN-UNSPEC",'0','1'
'01701',"TB SKIN/SUBCUT-NO EXAM",'0','1'
'01702',"TB SKIN/SUBCUT-EXAM UNKN",'0','1'
'01703',"TB SKIN/SUBCUT-MICRO DX",'0','1'
'01704',"TB SKIN/SUBCUT-CULT DX",'0','1'
'01705',"TB SKIN/SUBCUT-HISTO DX",'0','1'
'01706',"TB SKIN/SUBCUT-OTH TEST",'0','1'
'01710',"ERYTHEMA NODOS TB-UNSPEC",'0','1'
'01711',"ERYTHEM NODOS TB-NO EXAM",'0','1'
'01712',"ERYTHEM NOD TB-EXAM UNKN",'0','1'
'01713',"ERYTHEM NOD TB-MICRO DX",'0','1'
'01714',"ERYTHEM NODOS TB-CULT DX",'0','1'
'01715',"ERYTHEM NOD TB-HISTO DX",'0','1'
'01716',"ERYTHEM NOD TB-OTH TEST",'0','1'
'01720',"TB PERIPH LYMPH-UNSPEC",'0','1'
'01721',"TB PERIPH LYMPH-NO EXAM",'0','1'
'01722',"TB PERIPH LYMPH-EXAM UNK",'0','1'
'01723',"TB PERIPH LYMPH-MICRO DX",'0','1'
'01724',"TB PERIPH LYMPH-CULT DX",'0','1'
'01725',"TB PERIPH LYMPH-HISTO DX",'0','1'
'01726',"TB PERIPH LYMPH-OTH TEST",'0','1'
'01730',"TB OF EYE-UNSPEC",'0','1'
'01731',"TB OF EYE-NO EXAM",'0','1'
'01732',"TB OF EYE-EXAM UNKN",'0','1'
'01733',"TB OF EYE-MICRO DX",'0','1'
'01734',"TB OF EYE-CULT DX",'0','1'
'01735',"TB OF EYE-HISTO DX",'0','1'
'01736',"TB OF EYE-OTH TEST",'0','1'
'01740',"TB OF EAR-UNSPEC",'0','1'
'01741',"TB OF EAR-NO EXAM",'0','1'
'01742',"TB OF EAR-EXAM UNKN",'0','1'
'01743',"TB OF EAR-MICRO DX",'0','1'
'01744',"TB OF EAR-CULT DX",'0','1'
'01745',"TB OF EAR-HISTO DX",'0','1'
'01746',"TB OF EAR-OTH TEST",'0','1'
'01750',"TB OF THYROID-UNSPEC",'0','1'
'01751',"TB OF THYROID-NO EXAM",'0','1'
'01752',"TB OF THYROID-EXAM UNKN",'0','1'
'01753',"TB OF THYROID-MICRO DX",'0','1'
'01754',"TB OF THYROID-CULT DX",'0','1'
'01755',"TB OF THYROID-HISTO DX",'0','1'
'01756',"TB OF THYROID-OTH TEST",'0','1'
'01760',"TB OF ADRENAL-UNSPEC",'0','1'
'01761',"TB OF ADRENAL-NO EXAM",'0','1'
'01762',"TB OF ADRENAL-EXAM UNKN",'0','1'
'01763',"TB OF ADRENAL-MICRO DX",'0','1'
'01764',"TB OF ADRENAL-CULT DX",'0','1'
'01765',"TB OF ADRENAL-HISTO DX",'0','1'
'01766',"TB OF ADRENAL-OTH TEST",'0','1'
'01770',"TB OF SPLEEN-UNSPEC",'0','1'
'01771',"TB OF SPLEEN-NO EXAM",'0','1'
'01772',"TB OF SPLEEN-EXAM UNKN",'0','1'
'01773',"TB OF SPLEEN-MICRO DX",'0','1'
'01774',"TB OF SPLEEN-CULT DX",'0','1'
'01775',"TB OF SPLEEN-HISTO DX",'0','1'
'01776',"TB OF SPLEEN-OTH TEST",'0','1'
