"dgns_cd","longdesc","shortdesc","version","fyear"
"00869","Enteritis due to other viral enteritis","Other viral intes infec",32,2015
"0088","Intestinal infection due to other organism, not elsewhere classified","Viral enteritis NOS",32,2015
"0090","Infectious colitis, enteritis, and gastroenteritis","Infectious enteritis NOS",32,2015
"0091","Colitis, enteritis, and gastroenteritis of presumed infectious origin","Enteritis of infect orig",32,2015
"0092","Infectious diarrhea","Infectious diarrhea NOS",32,2015
"0093","Diarrhea of presumed infectious origin","Diarrhea of infect orig",32,2015
"01000","Primary tuberculous infection, unspecified","Prim TB complex-unspec",32,2015
"01001","Primary tuberculous infection, bacteriological or histological examination not done","Prim TB complex-no exam",32,2015
"01002","Primary tuberculous infection, bacteriological or histological examination unknown (at present)","Prim TB complex-exm unkn",32,2015
"01003","Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy","Prim TB complex-micro dx",32,2015
"01004","Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","Prim TB complex-cult dx",32,2015
"01005","Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","Prim TB complex-histo dx",32,2015
"01006","Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","Prim TB complex-oth test",32,2015
"01010","Tuberculous pleurisy in primary progressive tuberculosis, unspecified","Prim TB pleurisy-unspec",32,2015
"01011","Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done","Prim TB pleurisy-no exam",32,2015
"01012","Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)","Prim TB pleur-exam unkn",32,2015
"01013","Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy","Prim TB pleuris-micro dx",32,2015
"01014","Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","Prim TB pleurisy-cult dx",32,2015
"01015","Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","Prim TB pleuris-histo dx",32,2015
"01016","Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","Prim TB pleuris-oth test",32,2015
"01080","Other primary progressive tuberculosis, unspecified","Prim prog TB NEC-unspec",32,2015
"01081","Other primary progressive tuberculosis, bacteriological or histological examination not done","Prim prog TB NEC-no exam",32,2015
"01082","Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)","Prim pr TB NEC-exam unkn",32,2015
"01083","Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy","Prim prg TB NEC-micro dx",32,2015
"01084","Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","Prim prog TB NEC-cult dx",32,2015
"01085","Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","Prim prg TB NEC-histo dx",32,2015
"01086","Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","Prim prg TB NEC-oth test",32,2015
"01090","Primary tuberculous infection, unspecified, unspecified","Primary TB NOS-unspec",32,2015
"01091","Primary tuberculous infection, unspecified, bacteriological or histological examination not done","Primary TB NOS-no exam",32,2015
"01092","Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)","Primary TB NOS-exam unkn",32,2015
"01093","Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy","Primary TB NOS-micro dx",32,2015
"01094","Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","Primary TB NOS-cult dx",32,2015
"01095","Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","Primary TB NOS-histo dx",32,2015
"01096","Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","Primary TB NOS-oth test",32,2015
"01100","Tuberculosis of lung, infiltrative, unspecified","TB lung infiltr-unspec",32,2015
"01101","Tuberculosis of lung, infiltrative, bacteriological or histological examination not done","TB lung infiltr-no exam",32,2015
"01102","Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)","TB lung infiltr-exm unkn",32,2015
"01103","Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy","TB lung infiltr-micro dx",32,2015
"01104","Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","TB lung infiltr-cult dx",32,2015
"01105","Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","TB lung infiltr-histo dx",32,2015
"01106","Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","TB lung infiltr-oth test",32,2015
"01110","Tuberculosis of lung, nodular, unspecified","TB lung nodular-unspec",32,2015
"01111","Tuberculosis of lung, nodular, bacteriological or histological examination not done","TB lung nodular-no exam",32,2015
"01112","Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)","TB lung nodul-exam unkn",32,2015
"01113","Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy","TB lung nodular-micro dx",32,2015
"01114","Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","TB lung nodular-cult dx",32,2015
"01115","Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","TB lung nodular-histo dx",32,2015
"01116","Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","TB lung nodular-oth test",32,2015
"01120","Tuberculosis of lung with cavitation, unspecified","TB lung w cavity-unspec",32,2015
"01121","Tuberculosis of lung with cavitation, bacteriological or histological examination not done","TB lung w cavity-no exam",32,2015
"01122","Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)","TB lung cavity-exam unkn",32,2015
"01123","Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy","TB lung w cavit-micro dx",32,2015
"01124","Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","TB lung w cavity-cult dx",32,2015
"01125","Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","TB lung w cavit-histo dx",32,2015
"01126","Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","TB lung w cavit-oth test",32,2015
"01130","Tuberculosis of bronchus, unspecified","TB of bronchus-unspec",32,2015
"01131","Tuberculosis of bronchus, bacteriological or histological examination not done","TB of bronchus-no exam",32,2015
"01132","Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)","TB of bronchus-exam unkn",32,2015
"01133","Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy","TB of bronchus-micro dx",32,2015
"01134","Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture","TB of bronchus-cult dx",32,2015
"01135","Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","TB of bronchus-histo dx",32,2015
"01136","Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","TB of bronchus-oth test",32,2015
"01140","Tuberculous fibrosis of lung, unspecified","TB lung fibrosis-unspec",32,2015
"01141","Tuberculous fibrosis of lung, bacteriological or histological examination not done","TB lung fibrosis-no exam",32,2015
"01142","Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)","TB lung fibros-exam unkn",32,2015
"01143","Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy","TB lung fibros-micro dx",32,2015
"01144","Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","TB lung fibrosis-cult dx",32,2015
"01145","Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","TB lung fibros-histo dx",32,2015
"01146","Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","TB lung fibros-oth test",32,2015
"01150","Tuberculous bronchiectasis, unspecified","TB bronchiectasis-unspec",32,2015
"01151","Tuberculous bronchiectasis, bacteriological or histological examination not done","TB bronchiect-no exam",32,2015
"01152","Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)","TB bronchiect-exam unkn",32,2015
"01153","Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy","TB bronchiect-micro dx",32,2015
"01154","Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","TB bronchiect-cult dx",32,2015
"01155","Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","TB bronchiect-histo dx",32,2015
"01156","Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","TB bronchiect-oth test",32,2015
"01160","Tuberculous pneumonia [any form], unspecified","TB pneumonia-unspec",32,2015
"01161","Tuberculous pneumonia [any form], bacteriological or histological examination not done","TB pneumonia-no exam",32,2015
"01162","Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)","TB pneumonia-exam unkn",32,2015
"01163","Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy","TB pneumonia-micro dx",32,2015
"01164","Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","TB pneumonia-cult dx",32,2015
"01165","Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","TB pneumonia-histo dx",32,2015
"01166","Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","TB pneumonia-oth test",32,2015
"01170","Tuberculous pneumothorax, unspecified","TB pneumothorax-unspec",32,2015
"01171","Tuberculous pneumothorax, bacteriological or histological examination not done","TB pneumothorax-no exam",32,2015
"01172","Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)","TB pneumothorx-exam unkn",32,2015
"01173","Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy","TB pneumothorax-micro dx",32,2015
"01174","Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","TB pneumothorax-cult dx",32,2015
"01175","Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","TB pneumothorax-histo dx",32,2015
"01176","Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","TB pneumothorax-oth test",32,2015
"01180","Other specified pulmonary tuberculosis, unspecified","Pulmonary TB NEC-unspec",32,2015
"01181","Other specified pulmonary tuberculosis, bacteriological or histological examination not done","Pulmonary TB NEC-no exam",32,2015
"01182","Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)","Pulmon TB NEC-exam unkn",32,2015
"01183","Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy","Pulmon TB NEC-micro dx",32,2015
"01184","Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","Pulmon TB NEC-cult dx",32,2015
"01185","Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","Pulmon TB NEC-histo dx",32,2015
"01186","Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","Pulmon TB NEC-oth test",32,2015
"01190","Pulmonary tuberculosis, unspecified, unspecified","Pulmonary TB NOS-unspec",32,2015
"01191","Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done","Pulmonary TB NOS-no exam",32,2015
"01192","Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)","Pulmon TB NOS-exam unkn",32,2015
"01193","Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy","Pulmon TB NOS-micro dx",32,2015
"01194","Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","Pulmon TB NOS-cult dx",32,2015
"01195","Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","Pulmon TB NOS-histo dx",32,2015
"01196","Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","Pulmon TB NOS-oth test",32,2015
"01200","Tuberculous pleurisy, unspecified","TB pleurisy-unspec",32,2015
"01201","Tuberculous pleurisy, bacteriological or histological examination not done","TB pleurisy-no exam",32,2015
"01202","Tuberculous pleurisy, bacteriological or histological examination unknown (at present)","TB pleurisy-exam unkn",32,2015
"01203","Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy","TB pleurisy-micro dx",32,2015
"01204","Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","TB pleurisy-cult dx",32,2015
"01205","Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","TB pleurisy-histolog dx",32,2015
"01206","Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","TB pleurisy-oth test",32,2015
"01210","Tuberculosis of intrathoracic lymph nodes, unspecified","TB thoracic nodes-unspec",32,2015
"01211","Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done","TB thorax node-no exam",32,2015
"01212","Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)","TB thorax node-exam unkn",32,2015
"01213","Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy","TB thorax node-micro dx",32,2015
"01214","Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","TB thorax node-cult dx",32,2015
"01215","Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","TB thorax node-histo dx",32,2015
"01216","Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","TB thorax node-oth test",32,2015
"01220","Isolated tracheal or bronchial tuberculosis, unspecified","Isol tracheal tb-unspec",32,2015
"01221","Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done","Isol tracheal tb-no exam",32,2015
"01222","Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)","Isol trach tb-exam unkn",32,2015
"01223","Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy","Isolat trach tb-micro dx",32,2015
"01224","Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","Isol tracheal tb-cult dx",32,2015
"01225","Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","Isolat trach tb-histo dx",32,2015
"01226","Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","Isolat trach tb-oth test",32,2015
"01230","Tuberculous laryngitis, unspecified","TB laryngitis-unspec",32,2015
"01231","Tuberculous laryngitis, bacteriological or histological examination not done","TB laryngitis-no exam",32,2015
"01232","Tuberculous laryngitis, bacteriological or histological examination unknown (at present)","TB laryngitis-exam unkn",32,2015
"01233","Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy","TB laryngitis-micro dx",32,2015
"01234","Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","TB laryngitis-cult dx",32,2015
"01235","Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","TB laryngitis-histo dx",32,2015
"01236","Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","TB laryngitis-oth test",32,2015
"01280","Other specified respiratory tuberculosis, unspecified","Resp TB NEC-unspec",32,2015
"01281","Other specified respiratory tuberculosis, bacteriological or histological examination not done","Resp TB NEC-no exam",32,2015
"01282","Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)","Resp TB NEC-exam unkn",32,2015
"01283","Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy","Resp TB NEC-micro dx",32,2015
"01284","Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","Resp TB NEC-cult dx",32,2015
"01285","Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","Resp TB NEC-histo dx",32,2015
"01286","Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","Resp TB NEC-oth test",32,2015
"01300","Tuberculous meningitis, unspecified","TB meningitis-unspec",32,2015
"01301","Tuberculous meningitis, bacteriological or histological examination not done","TB meningitis-no exam",32,2015
"01302","Tuberculous meningitis, bacteriological or histological examination unknown (at present)","TB meningitis-exam unkn",32,2015
"01303","Tuberculous meningitis, tubercle bacilli found (in sputum) by microscopy","TB meningitis-micro dx",32,2015
"01304","Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","TB meningitis-cult dx",32,2015
"01305","Tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","TB meningitis-histo dx",32,2015
"01306","Tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","TB meningitis-oth test",32,2015
"01310","Tuberculoma of meninges, unspecified","Tubrclma meninges-unspec",32,2015
"01311","Tuberculoma of meninges, bacteriological or histological examination not done","Tubrclma mening-no exam",32,2015
"01312","Tuberculoma of meninges, bacteriological or histological examination unknown (at present)","Tubrclma menin-exam unkn",32,2015
"01313","Tuberculoma of meninges, tubercle bacilli found (in sputum) by microscopy","Tubrclma mening-micro dx",32,2015
"01314","Tuberculoma of meninges, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","Tubrclma mening-cult dx",32,2015
"01315","Tuberculoma of meninges, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","Tubrclma mening-histo dx",32,2015
"01316","Tuberculoma of meninges, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","Tubrclma mening-oth test",32,2015
"01320","Tuberculoma of brain, unspecified","Tuberculoma brain-unspec",32,2015
"01321","Tuberculoma of brain, bacteriological or histological examination not done","Tubrcloma brain-no exam",32,2015
"01322","Tuberculoma of brain, bacteriological or histological examination unknown (at present)","Tubrclma brain-exam unkn",32,2015
"01323","Tuberculoma of brain, tubercle bacilli found (in sputum) by microscopy","Tubrcloma brain-micro dx",32,2015
"01324","Tuberculoma of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","Tubrcloma brain-cult dx",32,2015
"01325","Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","Tubrcloma brain-histo dx",32,2015
"01326","Tuberculoma of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","Tubrcloma brain-oth test",32,2015
"01330","Tuberculous abscess of brain, unspecified","TB brain abscess-unspec",32,2015
"01331","Tuberculous abscess of brain, bacteriological or histological examination not done","TB brain abscess-no exam",32,2015
"01332","Tuberculous abscess of brain, bacteriological or histological examination unknown (at present)","TB brain absc-exam unkn",32,2015
"01333","Tuberculous abscess of brain, tubercle bacilli found (in sputum) by microscopy","TB brain absc-micro dx",32,2015
"01334","Tuberculous abscess of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","TB brain abscess-cult dx",32,2015
"01335","Tuberculous abscess of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","TB brain absc-histo dx",32,2015
"01336","Tuberculous abscess of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","TB brain absc-oth test",32,2015
"01340","Tuberculoma of spinal cord, unspecified","Tubrclma sp cord-unspec",32,2015
"01341","Tuberculoma of spinal cord, bacteriological or histological examination not done","Tubrclma sp cord-no exam",32,2015
"01342","Tuberculoma of spinal cord, bacteriological or histological examination unknown (at present)","Tubrclma sp cd-exam unkn",32,2015
"01343","Tuberculoma of spinal cord, tubercle bacilli found (in sputum) by microscopy","Tubrclma sp crd-micro dx",32,2015
"01344","Tuberculoma of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","Tubrclma sp cord-cult dx",32,2015
"01345","Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","Tubrclma sp crd-histo dx",32,2015
"01346","Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","Tubrclma sp crd-oth test",32,2015
"01350","Tuberculous abscess of spinal cord, unspecified","TB sp crd abscess-unspec",32,2015
"01351","Tuberculous abscess of spinal cord, bacteriological or histological examination not done","TB sp crd absc-no exam",32,2015
"01352","Tuberculous abscess of spinal cord, bacteriological or histological examination unknown (at present)","TB sp crd absc-exam unkn",32,2015
"01353","Tuberculous abscess of spinal cord, tubercle bacilli found (in sputum) by microscopy","TB sp crd absc-micro dx",32,2015
"01354","Tuberculous abscess of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","TB sp crd absc-cult dx",32,2015
"01355","Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","TB sp crd absc-histo dx",32,2015
"01356","Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","TB sp crd absc-oth test",32,2015
"01360","Tuberculous encephalitis or myelitis, unspecified","TB encephalitis-unspec",32,2015
"01361","Tuberculous encephalitis or myelitis, bacteriological or histological examination not done","TB encephalitis-no exam",32,2015
"01362","Tuberculous encephalitis or myelitis, bacteriological or histological examination unknown (at present)","TB encephalit-exam unkn",32,2015
"01363","Tuberculous encephalitis or myelitis, tubercle bacilli found (in sputum) by microscopy","TB encephalitis-micro dx",32,2015
"01364","Tuberculous encephalitis or myelitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","TB encephalitis-cult dx",32,2015
